 [["name","label","concept"],
["FOODFORCHLD1_RATE","Percentage of adults in households where children currently receive food assistance","All HPS Indicators"],
["PRICEINCR_RATE","Percentage of adults who think prices have increased in the area where they live and shop in the last two months","All HPS Indicators"],
["VACCINE_UNIV","Universe for Adults in households who have received a COVID-19 vaccine","All HPS Indicators"],
["CHILDTELE_TOTAL","Adults in households where children had an appointment with a doctor, nurse, or other health professional by video or by phone in the last 4 weeks","All HPS Indicators"],
["DISPLACEDTIME_TOTAL","Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year","All HPS Indicators"],
["ENERGYBILL_RATE","Percentage of adults in households that were unable to pay an energy bill in full in the last 12 months","All HPS Indicators"],
["VACCINE_TOTAL","Adults in households who have received a COVID-19 vaccine","All HPS Indicators"],
["GASIMPACT_UNIV","Universe for Adults who changed driving behavior in the last 7 days due to the cost of gas","All HPS Indicators"],
["HINSEC_1_TOTAL","Adults in households who missed last month's rent or mortgage payment, or who have slight or no confidence that their household can pay next month's rent or mortgage on time","All HPS Indicators"],
["FOODFORCHLD1_TOTAL","Adults in households where children currently receive food assistance","All HPS Indicators"],
["EXPENSE_RATE","Percentage of adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days","All HPS Indicators"],
["STATE","Geography",null],
["COL_END_DATE","Data Collection End Date","All HPS Indicators"],
["PRICEINCR_UNIV","Universe for Adults who think prices have increased in the area where they live and shop in the last two months","All HPS Indicators"],
["FOODASSIS_TOTAL","Adults in households with children enrolled in public or private school where students received food assistance from school in the last 7 days","All HPS Indicators"],
["CTCUSE_RATE","Percentage of adults in households that received a Child Tax Credit payment in the last 4 weeks who either mostly spent it or used it to pay down debt","All HPS Indicators"],
["GEOCOMP","GEO_ID Component",null],
["FOODSCARCE_UNIV","Universe for Adults in households where there was either sometimes or often not enough to eat in the last 7 days","All HPS Indicators"],
["GASIMPACT_RATE","Percentage of adults who changed driving behavior in the last 7 days due to the cost of gas","All HPS Indicators"],
["WEEK","Household Pulse Survey Week","All HPS Indicators"],
["TELEWORK_UNIV","Universe for Adults in households where at least one adult has substituted some or all of their typical in-person work for telework because of the coronavirus pandemic","All HPS Indicators"],
["GASIMPACT_TOTAL","Adults who changed driving behavior in the last 7 days due to the cost of gas","All HPS Indicators"],
["HINSEC_1_RATE","Percentage of adults in households who missed last month's rent or mortgage payment, or who have slight or no confidence that their household can pay next month's rent or mortgage on time","All HPS Indicators"],
["CHILDTELE_UNIV","Universe for Adults in households where children had an appointment with a doctor, nurse, or other health professional by video or by phone in the last 4 weeks","All HPS Indicators"],
["PLNDTRIP_UNIV","Universe for Adults who are planning to take any overnight trips or trips to places more than 100 miles away in the next 4 weeks","All HPS Indicators"],
["GEO_ID","Geography","All HPS Indicators"],
["FOODASSIS_UNIV","Universe for Adults in households with children enrolled in public or private school where students received food assistance from school in the last 7 days","All HPS Indicators"],
["CTCUSE_TOTAL","Adults in households that received a Child Tax Credit payment in the last 4 weeks who either mostly spent it or used it to pay down debt","All HPS Indicators"],
["CBSA","Geography",null],
["EDMVD_RATE","Percentage of adults in households with children in public or private school, where classes were taught in a distance learning format, or changed in some other way","All HPS Indicators"],
["DISPLACED_UNIV","Universe for Adults in households who were displaced from their homes because of a natural disaster in the past year","All HPS Indicators"],
["GETVACC_RATE","Percentage of adults in households who have not received a COVID-19 vaccine (but definitely will once available)","All HPS Indicators"],
["PRICEWORRY_UNIV","Universe for Adults who are somewhat or very concerned that prices will increase in the next six months","All HPS Indicators"]]
